Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.5799,0.605,0.3857,0.3599,0.1295,0.07770601124947915,0.5891877765465428
0.5804,0.605,0.4143,0.3848,0.1481,0.09185179723225385,0.5889574035811521
0.589,0.6095,0.4005,0.3301,0.109,0.062605690634232,0.5971863172690663
0.5735,0.6095,0.3052,0.3662,0.1341,0.08115136886331499,0.5866592005927259
0.6298,0.6703,0.2882,0.3443,0.1185,0.0695572745466515,0.6454506205074049
0.6355,0.6703,0.3409,0.3439,0.1182,0.06935542534907568,0.6489360301089528
0.5904,0.6262,0.4175,0.4546,0.2067,0.13933928525325237,0.6006763397446706
0.5649,0.6262,0.3577,0.5438,0.2958,0.21807104670756053,0.5781304919041906
0.5027,0.5428,0.3161,0.4637,0.215,0.14641741655929622,0.5138464723803543
0.4907,0.5428,0.2825,0.4999,0.2499,0.17668832020679875,0.5037140594327079
0.6494,0.6867,0.4292,0.4115,0.1693,0.10862370174718185,0.6614699754607286
0.6425,0.6867,0.3441,0.3849,0.1481,0.0919114838879938,0.6578616968548554
0.3513,0.3644,0.3141,0.5939,0.3527,0.27182119235575863,0.3536495847233295
0.3646,0.3644,0.365,0.5692,0.3239,0.2444343454444957,0.36451785323010694
0.6679,0.7267,0.3764,0.4491,0.2017,0.13516294245373114,0.68499005954053
0.6744,0.7267,0.4264,0.4591,0.2108,0.14281316102007,0.6891726125694541
0.6304,0.6607,0.3397,0.3233,0.1045,0.05943116745300157,0.6426927850543818
0.6248,0.6607,0.3655,0.3722,0.1386,0.08451638678801227,0.63769505725892
0.5604,0.5722,0.4778,0.379,0.1437,0.0884296741931067,0.5645304541930853
0.5358,0.5722,0.3094,0.401,0.1608,0.10182652700549598,0.5479130449837947
0.6622,0.7077,0.4425,0.4553,0.2073,0.13987629675168403,0.6751568249166536
0.6508,0.7077,0.4163,0.4926,0.2426,0.17030838034123255,0.6652942009259432
0.5645,0.6099,0.4018,0.5279,0.2787,0.20247861197679037,0.5748592111388146
0.5825,0.6099,0.2847,0.303,0.0918,0.050536664133508054,0.5942560689147653
0.4584,0.5291,0.2299,0.5564,0.3096,0.23092332560846213,0.472969567190224
0.494,0.5291,0.2837,0.4086,0.1669,0.10672002191156964,0.5054362974748895
0.2724,0.2649,0.3132,0.4296,0.1846,0.12096526515045146,0.2701121350129281
0.2671,0.2649,0.2809,0.4018,0.1615,0.10233515013041264,0.26638535806183167
0.5087,0.5324,0.3184,0.3531,0.1246,0.07408738973926311,0.5176389092771575
0.4851,0.5324,0.365,0.6269,0.3929,0.31116853457868104,0.492672374363217
0.6006,0.6492,0.3659,0.4548,0.2069,0.1394925906481833,0.6145194314250424
0.6049,0.6492,0.2813,0.37,0.1369,0.08327301903978263,0.6209189081918683
0.597,0.6553,0.3718,0.5092,0.2593,0.1850209844740108,0.6110362698335133
0.6086,0.6553,0.3807,0.4531,0.2053,0.13819271696566907,0.6219596706224422
0.6047,0.6618,0.4139,0.5468,0.2989,0.22109110218374423,0.6169151555085995
0.6116,0.6618,0.3406,0.4305,0.1853,0.12159980807451715,0.6269766538542954
0.5446,0.5393,0.5757,0.4127,0.1704,0.10941734493265634,0.5428899847552775
0.5112,0.5393,0.3646,0.4377,0.1916,0.12674807335730454,0.5196479686905138
0.4908,0.5247,0.268,0.39,0.1521,0.09498641955563965,0.5024321312260406
0.4958,0.5247,0.3515,0.4483,0.201,0.13456181834923686,0.5041580545888652
0.4936,0.5105,0.2986,0.2947,0.0868,0.047146595742324764,0.5009594412297005
0.4876,0.5105,0.3537,0.4143,0.1716,0.11048093302236042,0.49490008307863737
0.5846,0.6528,0.3271,0.5144,0.2646,0.18978085539536813,0.6008478910700482
0.5583,0.6528,0.3464,0.6679,0.4461,0.36456805281837484,0.5709399189634862
0.5549,0.5807,0.4018,0.4107,0.1687,0.10809653104968436,0.5632480282061081
0.5569,0.5807,0.4571,0.4886,0.2387,0.1668720712745621,0.5630242080110744
0.5821,0.6152,0.3829,0.4074,0.166,0.10593819319728491,0.5929479045112068
0.5826,0.6152,0.2593,0.3173,0.1007,0.05671202832464267,0.5960994216591433
0.4965,0.506,0.4469,0.4374,0.1913,0.1265310018599391,0.49936193837757153
0.4774,0.506,0.362,0.4984,0.2484,0.17536587403589535,0.48451504249101773
0.6088,0.6471,0.3411,0.3784,0.1432,0.08808010411561373,0.6223292944633111
0.5875,0.6471,0.3807,0.5369,0.2883,0.2112192566716122,0.6006436629929892
0.6017,0.6544,0.3671,0.4739,0.2246,0.15460259232474685,0.6159302052237149
0.6024,0.6544,0.3576,0.4611,0.2126,0.14437360653999415,0.6169558592262301
0.4354,0.4247,0.4645,0.6072,0.3686,0.2872958861075215,0.43358247712936787
0.4237,0.4247,0.4198,0.4899,0.24,0.16798426312455356,0.42399526200369486
0.4676,0.4588,0.4942,0.5736,0.3291,0.24918555126138278,0.46586153581887463
0.4554,0.4588,0.4436,0.543,0.2948,0.2172699047519997,0.45608695949900835
0.5399,0.5709,0.3289,0.3834,0.147,0.09101862519580373,0.5507110620765695
0.5358,0.5709,0.3231,0.4062,0.165,0.10515981118863103,0.5473209655936403
0.3804,0.376,0.3942,0.5581,0.3115,0.2326912519718804,0.3794355567779959
0.3738,0.376,0.3618,0.4337,0.1881,0.1238721157255944,0.3744348895050503
0.6263,0.6814,0.4131,0.5087,0.2587,0.18456712364281552,0.6395962403944794
0.6386,0.6814,0.391,0.4159,0.173,0.11155070025960055,0.6522566389748823
0.633,0.7026,0.4365,0.5952,0.3543,0.2733111228230142,0.6454827028370246
0.6336,0.7026,0.3352,0.4807,0.231,0.16020840818024631,0.6518672447894567
0.7289,0.7639,0.6567,0.6966,0.4852,0.40500340576057287,0.7329987474339745
0.7154,0.7639,0.6193,0.7107,0.5051,0.4258099334548403,0.7207160419331796
0.5924,0.6344,0.3155,0.3895,0.1517,0.0946822685749388,0.6068174070272875
0.6141,0.6344,0.5462,0.546,0.2981,0.22028331666963802,0.6184782970111505
0.8941,1.0,0.6013,0.6013,0.3616,0.28036771982125896,0.9126949171224489
0.902,1.0,0.4847,0.4847,0.2349,0.16356205157190007,0.9275642196639722
0.7596,0.8511,0.5232,0.6222,0.3872,0.3053690492482545,0.7743933312566537
0.7719,0.8511,0.4201,0.4744,0.225,0.1550107083614152,0.7932567135091317
0.462,0.4892,0.3375,0.467,0.2181,0.14903634847615868,0.4695236737516469
0.4681,0.4892,0.2962,0.3503,0.1227,0.07262737428538345,0.47613201052563336
0.5473,0.5822,0.2726,0.3563,0.127,0.07577737483423097,0.5603918863535376
0.5228,0.5822,0.2339,0.4535,0.2057,0.13849791279127946,0.5398294146144418
0.7484,0.8255,0.5493,0.6227,0.3878,0.30598290556425245,0.7607882199630839
0.76,0.8255,0.4659,0.4722,0.223,0.15321982319443428,0.7777225968435949
0.5435,0.5605,0.4927,0.5784,0.3346,0.2544314018104899,0.5467483918866715
0.5299,0.5605,0.3275,0.3886,0.151,0.09413627099190695,0.5404533643819065
0.743,0.7922,0.6578,0.7598,0.5772,0.503208795018726,0.7472087371264522
0.7393,0.7922,0.6413,0.7344,0.5394,0.46220184046197854,0.744500526647076
0.6974,0.7713,0.4944,0.6031,0.3638,0.2824706447136455,0.7103113747682133
0.7269,0.7713,0.616,0.6325,0.4001,0.3181642099628264,0.7338153668763163
0.6006,0.6187,0.5204,0.4741,0.2248,0.15476576127490668,0.6055254889056227
0.5778,0.6187,0.3622,0.4354,0.1896,0.12508955909621192,0.590181850801324
0.5665,0.6135,0.3465,0.4618,0.2132,0.14492216770071917,0.579703625130432
0.5644,0.6135,0.392,0.5331,0.2841,0.20750172255342453,0.5754365913214671
0.7225,0.8119,0.4481,0.5708,0.3258,0.24615570811958773,0.7400378354001712
0.7233,0.8119,0.3766,0.5056,0.2557,0.18176809814742337,0.7449463791943527
0.3561,0.3885,0.2626,0.5886,0.3465,0.26579734859073245,0.3620629986704981
0.3511,0.3885,0.2525,0.6158,0.3792,0.2975768974034222,0.35731074398916113
0.6951,0.757,0.5214,0.597,0.3564,0.2753821763345569,0.7061289419373206
0.6948,0.757,0.4973,0.5612,0.315,0.23593596939681874,0.7074241540261531
0.6458,0.6797,0.5085,0.497,0.247,0.17413696535272744,0.6543092241807319
0.6478,0.6797,0.4204,0.374,0.1399,0.08554192229909262,0.6592668688638234
0.5593,0.5944,0.3686,0.4294,0.1844,0.12082452605367242,0.5700588320930329
0.5575,0.5944,0.3882,0.4667,0.2178,0.148797112045789,0.5676920946770114
0.6009,0.6236,0.4819,0.4366,0.1906,0.12595323557334906,0.6077489211835202
0.5873,0.6236,0.3038,0.3577,0.128,0.07652394490795034,0.6008672426866872
0.5768,0.6006,0.2713,0.279,0.0779,0.04111596693985198,0.5875952163416628
0.5715,0.6006,0.3129,0.3352,0.1124,0.06505190586854992,0.5830276796133055
0.5201,0.5529,0.4074,0.5394,0.291,0.2136866326209804,0.5272826748926037
0.5241,0.5529,0.3684,0.43,0.1849,0.12124703831434398,0.5329489296251545
0.7514,0.8375,0.5513,0.6562,0.4306,0.3488113155378858,0.7634868319927814
0.7747,0.8375,0.664,0.7529,0.5668,0.4918619676962842,0.7802976225393806
0.5276,0.5489,0.3078,0.3109,0.0966,0.053895413104331484,0.5365703286323461
0.5238,0.5489,0.3848,0.4248,0.1804,0.11761460928304528,0.5316305788390427
0.5902,0.6409,0.3847,0.4966,0.2466,0.17378680063120341,0.60296791702056
0.5987,0.6409,0.3736,0.4331,0.1876,0.1234441345714826,0.6115290538571879
0.5111,0.5486,0.2833,0.4056,0.1645,0.10477191111174082,0.5234400663174233
0.535,0.5486,0.4056,0.3243,0.1052,0.059891800831551587,0.5405194322362032
0.455,0.4754,0.3747,0.5042,0.2542,0.1805124261629401,0.4600019398764896
0.4448,0.4754,0.2824,0.4341,0.1884,0.12415793037630006,0.45408406216321867
0.5154,0.5379,0.4251,0.4988,0.2488,0.17571794354926168,0.521041378303268
0.5133,0.5379,0.4357,0.5631,0.3171,0.23793800633998805,0.518256638116442
0.5326,0.5736,0.4215,0.6068,0.3683,0.28682297115843447,0.5396980765101475
0.5434,0.5736,0.3977,0.4552,0.2072,0.13979950493515933,0.5520253872618647
0.5592,0.5994,0.445,0.593,0.3516,0.2707925633879058,0.5664989798086109
0.562,0.5994,0.4252,0.5233,0.2739,0.19809651570277254,0.5705973012331305
0.394,0.4132,0.3139,0.4889,0.239,0.16712833753063672,0.3989806177922943
0.4007,0.4132,0.3025,0.3567,0.1273,0.07599023251130653,0.4053819748127563
0.6692,0.7351,0.3733,0.4719,0.2227,0.15297657855855318,0.6870964870477428
0.6925,0.7351,0.3077,0.3326,0.1106,0.06379778669345712,0.709468085388167
0.6295,0.6897,0.3663,0.4784,0.2289,0.15829891109459393,0.645502541677594
0.6265,0.6897,0.4338,0.5728,0.3281,0.2483176120789604,0.6387959061090404
0.5144,0.5453,0.3573,0.4437,0.1968,0.131136495022617,0.5235045215827299
0.5155,0.5453,0.4017,0.511,0.2611,0.18666042500634944,0.5227118724564626
0.4961,0.5137,0.3473,0.3439,0.1182,0.06935542534907568,0.5029077577721001
0.4961,0.5137,0.3714,0.3762,0.1415,0.08680544704691916,0.5023341983762221
0.5607,0.5851,0.2889,0.2997,0.0898,0.04917188501280125,0.5712178968395497
0.5651,0.5851,0.2281,0.2441,0.0596,0.029438755631749827,0.5748909072268362
0.437,0.4531,0.2695,0.3095,0.0958,0.05329072557651888,0.44381084841225243
0.433,0.4531,0.2589,0.3394,0.1152,0.06710881883124035,0.44088706314947257
0.6204,0.6837,0.4794,0.6701,0.449,0.3675776059362014,0.6287882315074489
0.6575,0.6837,0.3059,0.2731,0.0746,0.03897662676400598,0.6695270444087803
0.6714,0.7135,0.399,0.3931,0.1546,0.09688523779907797,0.6857209705830762
0.6685,0.7135,0.5205,0.5514,0.304,0.22577034905223886,0.6779520057115322
0.58,0.6051,0.2766,0.2874,0.0826,0.04428094794747179,0.5911705192129234
0.573,0.6051,0.3013,0.3436,0.1181,0.06920426936884301,0.5854365384552146
0.5727,0.6022,0.3931,0.405,0.164,0.10438487080571113,0.5824361685111185
0.5693,0.6022,0.4487,0.5223,0.2728,0.19715149042193675,0.576921032365669
0.6038,0.6475,0.4578,0.5472,0.2994,0.22149566037297053,0.6131014113386838
0.6072,0.6475,0.3748,0.4165,0.1735,0.11195345846871381,0.620044077369514
0.5723,0.6049,0.3855,0.4178,0.1746,0.11282909095295514,0.5826551622649618
0.5676,0.6049,0.2804,0.3602,0.1298,0.07786804500416639,0.5814572597490314
0.4544,0.4647,0.4181,0.5317,0.2827,0.20614207856006556,0.45673558102179196
0.4406,0.4647,0.3233,0.4523,0.2046,0.13758353676477278,0.4475985639561329
0.6282,0.6791,0.3414,0.4215,0.1776,0.11534371826908842,0.6441766189637752
0.6324,0.6791,0.3879,0.4373,0.1912,0.1264586943000976,0.6464092569070464
0.3659,0.3802,0.2369,0.3323,0.1104,0.06365402248405931,0.371624258989156
0.3745,0.3802,0.3516,0.5,0.25,0.1767766952966369,0.37590367640208117
0.4886,0.4998,0.4256,0.4226,0.1786,0.11609773093798074,0.4920816332326396
0.4869,0.4998,0.3885,0.3615,0.1307,0.07857253300689811,0.491691947313652
0.3446,0.3513,0.2787,0.3182,0.1012,0.05711503381780723,0.34737748322318585
0.3408,0.3513,0.2852,0.4343,0.1886,0.1243009859343654,0.3439920857732476
0.6175,0.6488,0.5505,0.6842,0.4681,0.3872199054891104,0.6213611515816889
0.6303,0.6488,0.5906,0.6815,0.4645,0.3834110722752019,0.632669924960397
0.6539,0.733,0.5166,0.7588,0.5758,0.5015547012254489,0.6607172937778368
0.6585,0.733,0.3724,0.5102,0.2603,0.1859307134155411,0.6764649811332177
0.3999,0.4051,0.3705,0.4228,0.1788,0.11623514095047963,0.40149705315722095
0.3946,0.4051,0.2719,0.2922,0.0854,0.046153063024967876,0.39922362472356593
0.6137,0.6426,0.4834,0.4713,0.2221,0.15249078474973018,0.6215355947540797
0.6127,0.6426,0.2508,0.2874,0.0826,0.04428094794747179,0.6259863909516694
0.6448,0.6777,0.5581,0.6157,0.379,0.29745610304824854,0.6502803826110273
0.6419,0.6777,0.2512,0.3029,0.0917,0.05049497753635763,0.6571990853076104
0.4231,0.4549,0.3137,0.5387,0.2902,0.21299403396070918,0.43010617846977284
0.4102,0.4549,0.2734,0.5719,0.3271,0.2473433516073501,0.4189092535396253
0.5453,0.5823,0.3918,0.4905,0.2406,0.16849907818079646,0.5548296536447287
0.5385,0.5823,0.3586,0.493,0.243,0.17065432454436366,0.5496897139401654
0.4048,0.4205,0.2514,0.3197,0.1022,0.057790518457312326,0.4112615198845007
0.399,0.4205,0.2895,0.4428,0.196,0.130472513963932,0.4053807475474628
0.7364,0.7865,0.6025,0.6116,0.374,0.29252884191958745,0.7448565912283505
0.7285,0.7865,0.5693,0.6032,0.3639,0.28258775040632655,0.7386451383199244
0.6423,0.6789,0.4848,0.4824,0.2327,0.16162861364684739,0.6518929914429684
0.6454,0.6789,0.38,0.3551,0.1261,0.07514094986979755,0.6580100600169658
0.585,0.6432,0.3629,0.5119,0.262,0.1874834013175983,0.5989454046675405
0.6041,0.6432,0.2893,0.3522,0.1241,0.07361619716371076,0.6189336259968286
0.4234,0.4437,0.3472,0.5151,0.2653,0.19042715308990865,0.42826333911278963
