Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.5738,0.6036,0.3437,0.3599,0.1295,0.07770601124947915,0.5848603881643707
0.5776,0.6036,0.4015,0.3848,0.1481,0.09185179723225385,0.5865983810369735
0.72,0.7606,0.3474,0.3301,0.109,0.062605690634232,0.7362554368209486
0.7249,0.7606,0.4586,0.3662,0.1341,0.08115136886331499,0.7379318389056959
0.6099,0.6393,0.3623,0.3443,0.1185,0.0695572745466515,0.6212856631262788
0.6137,0.6393,0.3974,0.3439,0.1182,0.06935542534907568,0.6236110372900902
0.5959,0.6211,0.4743,0.4546,0.2067,0.13933928525325237,0.6031466060111051
0.5601,0.6211,0.3541,0.5438,0.2958,0.21807104670756053,0.5732990366421561
0.5457,0.5661,0.4507,0.4637,0.215,0.14641741655929622,0.5513614155831182
0.5401,0.5661,0.4359,0.4999,0.2499,0.17668832020679875,0.5465495218522419
0.6176,0.6623,0.3537,0.4115,0.1693,0.10862370174718185,0.6320631628240033
0.6132,0.6623,0.2818,0.3849,0.1481,0.0919114838879938,0.6302714700912798
0.6601,0.6872,0.5835,0.5939,0.3527,0.27182119235575863,0.6650366190021724
0.6383,0.6872,0.4875,0.5692,0.3239,0.2444343454444957,0.647974516579394
0.6359,0.6644,0.3628,0.3233,0.1045,0.05943116745300157,0.6474810715651139
0.6253,0.6644,0.3434,0.3722,0.1386,0.08451638678801227,0.6393844626697605
0.5553,0.5744,0.4228,0.379,0.1437,0.0884296741931067,0.5620832294033022
0.5383,0.5744,0.3139,0.401,0.1608,0.10182652700549598,0.5503256020482439
0.6056,0.6474,0.4036,0.4553,0.2073,0.13987629675168403,0.6174828578984922
0.6004,0.6474,0.4066,0.4926,0.2426,0.17030838034123255,0.6123577336409304
0.6088,0.65,0.4608,0.5279,0.2787,0.20247861197679037,0.6181416758647944
0.6189,0.65,0.2804,0.303,0.0918,0.050536664133508054,0.6322201816448256
0.691,0.737,0.5424,0.5564,0.3096,0.23092332560846213,0.7004927064679732
0.6754,0.737,0.3059,0.4086,0.1669,0.10672002191156964,0.6954294125567435
0.3588,0.3605,0.3495,0.4296,0.1846,0.12096526515045146,0.3593129713221075
0.3608,0.3605,0.3628,0.4018,0.1615,0.10233515013041264,0.3607135202213883
0.5566,0.5843,0.3349,0.3531,0.1246,0.07408738973926311,0.5670971213725379
0.539,0.5843,0.4238,0.6269,0.3929,0.31116853457868104,0.5462098929826543
0.6303,0.6929,0.3278,0.4548,0.2069,0.1394925906481833,0.6482057691961983
0.6411,0.6929,0.2633,0.37,0.1369,0.08327301903978263,0.6598759254124127
0.5525,0.6012,0.3647,0.5092,0.2593,0.1850209844740108,0.5642745249228427
0.5606,0.6012,0.3626,0.4531,0.2053,0.13819271696566907,0.5722305805189901
0.6119,0.6597,0.4521,0.5468,0.2989,0.22109110218374423,0.6221118849680728
0.6215,0.6597,0.4155,0.4305,0.1853,0.12159980807451715,0.6332247162864848
0.627,0.6397,0.5525,0.4127,0.1704,0.10941734493265634,0.6310998167401045
0.5977,0.6397,0.3787,0.4377,0.1916,0.12674807335730454,0.6103400677059192
0.5691,0.5806,0.4935,0.39,0.1521,0.09498641955563965,0.5730443655231326
0.5539,0.5806,0.421,0.4483,0.201,0.13456181834923686,0.5616710479929727
0.4464,0.4592,0.2994,0.2947,0.0868,0.047146595742324764,0.45200518503306353
0.4317,0.4592,0.2717,0.4143,0.1716,0.11048093302236042,0.4405457626099777
0.731,0.8196,0.3961,0.5144,0.2646,0.18978085539536813,0.7520479025734277
0.7383,0.8196,0.5559,0.6679,0.4461,0.36456805281837484,0.7491479655048019
0.629,0.6811,0.3203,0.4107,0.1687,0.10809653104968436,0.6459034017706193
0.6351,0.6811,0.4424,0.4886,0.2387,0.1668720712745621,0.6469639842414521
0.5846,0.6002,0.491,0.4074,0.166,0.10593819319728491,0.5897396951038475
0.5727,0.6002,0.2996,0.3173,0.1007,0.05671202832464267,0.584067283368189
0.5091,0.5254,0.4242,0.4374,0.1913,0.1265310018599391,0.5140333022641326
0.4924,0.5254,0.3596,0.4984,0.2484,0.17536587403589535,0.500662458645908
0.6785,0.7038,0.5018,0.3784,0.1432,0.08808010411561373,0.6874480963450615
0.6409,0.7038,0.4228,0.5369,0.2883,0.2112192566716122,0.6547976325113737
0.6095,0.657,0.398,0.4739,0.2246,0.15460259232474685,0.6223196072152529
0.6131,0.657,0.4065,0.4611,0.2126,0.14437360653999415,0.6253970442593351
0.4633,0.464,0.4615,0.6072,0.3686,0.2872958861075215,0.4634420554566981
0.4542,0.464,0.4133,0.4899,0.24,0.16798426312455356,0.45670811909945513
0.6599,0.7068,0.5171,0.5736,0.3291,0.24918555126138278,0.6689589450610021
0.6538,0.7068,0.4741,0.543,0.2948,0.2172699047519997,0.6652654918038979
0.5512,0.5878,0.3019,0.3834,0.147,0.09101862519580373,0.5639486886268233
0.5579,0.5878,0.3768,0.4062,0.165,0.10515981118863103,0.5677226139639149
0.5264,0.5215,0.5421,0.5581,0.3115,0.2326912519718804,0.5253885972322371
0.4969,0.5215,0.3656,0.4337,0.1881,0.1238721157255944,0.5043168502702354
0.5925,0.6339,0.4325,0.5087,0.2587,0.18456712364281552,0.6025199135872088
0.5956,0.6339,0.3746,0.4159,0.173,0.11155070025960055,0.6078777082857678
0.6794,0.741,0.5055,0.5952,0.3543,0.2733111228230142,0.6904508700417862
0.678,0.741,0.4052,0.4807,0.231,0.16020840818024631,0.6946307588467598
0.8089,0.8549,0.7141,0.6966,0.4852,0.40500340576057287,0.8143132802117875
0.7934,0.8549,0.6717,0.7107,0.5051,0.4258099334548403,0.800188374012161
0.6186,0.6513,0.4031,0.3895,0.1517,0.0946822685749388,0.629832456645258
0.6431,0.6513,0.6153,0.546,0.2981,0.22028331666963802,0.644801345718837
0.6867,0.7297,0.5678,0.6013,0.3616,0.28036771982125896,0.6942480488641196
0.6934,0.7297,0.539,0.4847,0.2349,0.16356205157190007,0.7028932790411789
0.7816,0.8581,0.5841,0.6222,0.3872,0.3053690492482545,0.7940023262101955
