Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.6247,0.664,0.3211,0.3599,0.1295,0.07770601124947915,0.6392758257082058
0.6247,0.664,0.3593,0.3848,0.1481,0.09185179723225385,0.6383671781393657
0.715,0.7583,0.3178,0.3301,0.109,0.062605690634232,0.7323469988374343
0.7156,0.7583,0.3976,0.3662,0.1341,0.08115136886331499,0.7312258089181605
0.7041,0.7398,0.4026,0.3443,0.1185,0.0695572745466515,0.717870633957333
0.7041,0.7398,0.4022,0.3439,0.1182,0.06935542534907568,0.7179042008645491
0.617,0.6519,0.4481,0.4546,0.2067,0.13933928525325237,0.6269756015331283
0.604,0.6519,0.4421,0.5438,0.2958,0.21807104670756053,0.6143395426499039
0.5517,0.5811,0.4146,0.4637,0.215,0.14641741655929622,0.5598350580120378
0.5374,0.5811,0.3626,0.4999,0.2499,0.17668832020679875,0.5482906338303752
0.6563,0.7039,0.3752,0.4115,0.1693,0.10862370174718185,0.6716937511997727
0.6498,0.7039,0.2842,0.3849,0.1481,0.0919114838879938,0.6685718160244681
0.5694,0.5931,0.5024,0.5939,0.3527,0.27182119235575863,0.5737150563500196
0.6168,0.5931,0.6903,0.5692,0.3239,0.2444343454444957,0.6121922232773305
0.6719,0.7324,0.3718,0.4491,0.2017,0.13516294245373114,0.6894636467893666
0.6741,0.7324,0.3975,0.4591,0.2108,0.14281316102007,0.6905487777206466
0.6283,0.6553,0.3697,0.3233,0.1045,0.05943116745300157,0.6392786274502537
0.6239,0.6553,0.397,0.3722,0.1386,0.08451638678801227,0.6351706751015549
0.629,0.6613,0.4042,0.379,0.1437,0.0884296741931067,0.640411862002566
0.6198,0.6613,0.3621,0.401,0.1608,0.10182652700549598,0.6336490983985972
0.5696,0.596,0.4423,0.4553,0.2073,0.13987629675168403,0.5771391930229625
0.5682,0.596,0.4534,0.4926,0.2426,0.17030838034123255,0.575248225985036
