Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.5533,0.5842,0.3146,0.3599,0.1295,0.07770601124947915,0.5647609874917827
0.5528,0.587,0.3216,0.3848,0.1481,0.09185179723225385,0.5646732821732446
0.5387,0.561,0.334,0.3301,0.109,0.062605690634232,0.5476258087085076
0.6565,0.6952,0.3684,0.3662,0.1341,0.08115136886331499,0.6706703475310642
0.5006,0.5024,0.4849,0.3443,0.1185,0.0695572745466515,0.5012619101253064
0.4975,0.5086,0.4036,0.3439,0.1182,0.06935542534907568,0.5017899913826352
0.5541,0.5782,0.4374,0.4546,0.2067,0.13933928525325237,0.5609803959561553
0.595,0.6109,0.5413,0.5438,0.2958,0.21807104670756053,0.5984395241584047
0.4808,0.5185,0.3055,0.4637,0.215,0.14641741655929622,0.4912962003397241
0.3686,0.3864,0.297,0.4999,0.2499,0.17668832020679875,0.37297593896766845
0.6333,0.6751,0.3866,0.4115,0.1693,0.10862370174718185,0.6468325744482337
0.5839,0.6143,0.3786,0.3849,0.1481,0.0919114838879938,0.5944599881748086
0.5093,0.519,0.4817,0.5939,0.3527,0.27182119235575863,0.5110280220711768
0.4378,0.4537,0.3887,0.5692,0.3239,0.2444343454444957,0.44093256673841064
0.627,0.6732,0.3981,0.4491,0.2017,0.13516294245373114,0.6404440633160143
0.4744,0.4774,0.4599,0.4591,0.2108,0.14281316102007,0.47521308931057415
0.5423,0.5673,0.3025,0.3233,0.1045,0.05943116745300157,0.5524454501009356
0.5695,0.5956,0.381,0.3722,0.1386,0.08451638678801227,0.5788762170994723
0.562,0.5796,0.4396,0.379,0.1437,0.0884296741931067,0.56822567359144
0.4712,0.4827,0.4002,0.401,0.1608,0.10182652700549598,0.4750756705143191
0.6173,0.6493,0.4624,0.4553,0.2073,0.13987629675168403,0.6263651605464652
0.4752,0.4803,0.4543,0.4926,0.2426,0.17030838034123255,0.476516366589137
0.46,0.4838,0.3746,0.5279,0.2787,0.20247861197679037,0.4654124260276721
0.4117,0.4176,0.3468,0.303,0.0918,0.050536664133508054,0.41419412570469066
0.4435,0.4961,0.2733,0.5564,0.3096,0.23092332560846213,0.4543023381349662
0.5533,0.5866,0.3536,0.4086,0.1669,0.10672002191156964,0.5641320183848788
0.3741,0.38,0.342,0.4296,0.1846,0.12096526515045146,0.3758993554763714
0.3033,0.31,0.2619,0.4018,0.1615,0.10233515013041264,0.3055346423266186
0.4253,0.439,0.3155,0.3531,0.1246,0.07408738973926311,0.43048133315761195
0.4781,0.5285,0.3498,0.6269,0.3929,0.31116853457868104,0.48609064097196464
0.6136,0.6576,0.4008,0.4548,0.2069,0.1394925906481833,0.6261634662546801
0.5442,0.5703,0.3539,0.37,0.1369,0.08327301903978263,0.553664968015005
0.5831,0.64,0.3639,0.5092,0.2593,0.1850209844740108,0.5968916546773652
0.512,0.5503,0.3255,0.4531,0.2053,0.13819271696566907,0.5230060959793337
0.4352,0.4563,0.3647,0.5468,0.2989,0.22109110218374423,0.43971487795315733
0.6116,0.6618,0.3406,0.4305,0.1853,0.12159980807451715,0.6269766538542954
0.586,0.5977,0.5172,0.4127,0.1704,0.10941734493265634,0.5897606106373671
0.6282,0.6696,0.4124,0.4377,0.1916,0.12674807335730454,0.6406675303216951
0.4558,0.4811,0.2891,0.39,0.1521,0.09498641955563965,0.46444464041838646
0.4999,0.5246,0.3771,0.4483,0.201,0.13456181834923686,0.5071061377128037
0.5442,0.5586,0.3781,0.2947,0.0868,0.047146595742324764,0.5504731908539923
0.4885,0.509,0.3693,0.4143,0.1716,0.11048093302236042,0.49510134952860735
0.6757,0.7531,0.3831,0.5144,0.2646,0.18978085539536813,0.6940816386119676
