Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,Wir müssen diesen Muttermal entfernen.,e9490cd.jpeg,0.5732,0.596,0.3968,0.3599,0.1295
We'll have to get rid of that mole.,Wir müssen das Maulwurf loswerden.,e2f18daf.jpeg,0.5873,0.6037,0.4765,0.3848,0.1481
He finally made it to the bank.,Er hat es endlich zum See geschafft.,40cc251e.jpeg,0.5963,0.6195,0.384,0.3301,0.109
He finally made it to the bank.,Er hat es endlich zur Bank geschafft.,d12293c.jpeg,0.7332,0.7755,0.4178,0.3662,0.1341
So you see, they don't even own the plant.,Sie besitzen die Pflanze ja nicht einmal.,d8011246.jpeg,0.5267,0.5302,0.498,0.3443,0.1185
So you see, they don't even own the plant.,Siehst du, sie besitzen die Anlage ja nicht einmal.,4bedbae4.jpeg,0.5687,0.5932,0.3622,0.3439,0.1182
There are still a couple of bugs left.,Es gibt noch ein paar Fehler.,b547ce7.jpeg,0.577,0.5934,0.4976,0.4546,0.2067
There are still a couple of bugs left.,Noch ein paar Käfer sind übrig.,d1f5f19.jpeg,0.5853,0.6177,0.476,0.5438,0.2958
Hand me that bow.,Gib mir das Schleifchen.,8b24724.jpeg,0.5486,0.5778,0.4127,0.4637,0.215
Hand me that bow.,Gib mir den Bogen.,cf7bfad.jpeg,0.5851,0.6107,0.4829,0.4999,0.2499
Do you want to borrow my glasses?,Möchtest du meine Brille ausprobieren?,dc8979e.jpeg,0.5664,0.6001,0.3671,0.4115,0.1693
Do you want to borrow my glasses?,Möchtest du mein Glas ausleihen?,9ef4910.jpeg,0.5638,0.5902,0.3853,0.3849,0.1481
There are chips in a bowl.,Es gibt Chips in einer Schüssel.,c6249700.jpeg,0.6601,0.6872,0.5835,0.5939,0.3527
There are chips in a bowl.,Es gibt Pommes in einer Schüssel.,737c4103.jpeg,0.55,0.5387,0.585,0.5692,0.3239
First we should fill up the boot.,Zuerst sollten wir den Kofferraum füllen.,a13f9a0.jpeg,0.6359,0.6644,0.3628,0.3233,0.1045
First we should fill up the boot.,Zuerst sollten wir den Stiefel füllen.,a01e98cb.jpeg,0.6268,0.6502,0.4584,0.3722,0.1386
Put down your arms.,Legt eure Waffen nieder.,48ef354.jpeg,0.5553,0.5744,0.4228,0.379,0.1437
Put down your arms.,Lass deine Arme sinken.,f8f9418.jpeg,0.5583,0.5735,0.4637,0.401,0.1608
It must be the spring.,Es muss Frühling sein.,e20c4ff.jpeg,0.6147,0.6557,0.4167,0.4553,0.2073
It must be the spring.,Das muss die Feder sein.,458999c.jpeg,0.432,0.4353,0.4181,0.4926,0.2426
My chest is quite heavy...,Meine Brust ist ziemlich schwer.,edf9e44e.jpeg,0.6588,0.7144,0.4591,0.5279,0.2787
My chest is quite heavy...,Meine Kiste ist ziemlich schwer.,f4f9494.jpeg,0.4749,0.4792,0.4275,0.303,0.0918
The beam seems to be moving.,Der Strahl scheint sich zu bewegen.,a8b1169.jpeg,0.691,0.737,0.5424,0.5564,0.3096
The beam seems to be moving.,Der Balken scheint sich zu bewegen.,e50fb00.jpeg,0.6043,0.6448,0.3622,0.4086,0.1669
Over there by the pen.,Dort drüben am Zaun.,8de21f5.jpeg,0.5849,0.5997,0.5049,0.4296,0.1846
Over there by the pen.,Dort drüben am Stift.,68161a4.jpeg,0.5073,0.5394,0.3083,0.4018,0.1615
They're braces.,Das sind Hosenträger.,230b2b4.jpeg,0.4727,0.4744,0.4592,0.3531,0.1246
They're braces.,Das sind Zahnspangen.,a9ee65f.jpeg,0.6023,0.6012,0.6052,0.6269,0.3929
I know. The last one was a real nut.,Das weiß ich. Der letzte war ein echter Verrückter.,d9cbe61.jpeg,0.6081,0.658,0.3671,0.4548,0.2069
I know. The last one was a real nut.,Das weiß ich. Der letzte war ein echter Verrückter.,7adadb10.jpeg,0.6151,0.658,0.3021,0.37,0.1369
It might be easier with a pick.,Es könnte einfacher sein, mit einem Plektrum zu spielen.,b599303.jpeg,0.6364,0.6818,0.4612,0.5092,0.2593
It might be easier with a pick.,Es könnte mit einer Hacke einfacher gehen.,4a6ca5a.jpeg,0.5906,0.6282,0.4078,0.4531,0.2053
I have a club.,Ich habe einen Kreuzer.,cce02b1.jpeg,0.429,0.4486,0.3633,0.5468,0.2989
I have a club.,Ich habe einen Club.,d01da65.jpeg,0.6215,0.6597,0.4155,0.4305,0.1853
Which port does he want?,Welchen Hafen möchte er?,de257f1.jpeg,0.6225,0.6364,0.5407,0.4127,0.1704
Which port does he want?,Welchen Port möchte er?,4511cf4.jpeg,0.76,0.8138,0.4794,0.4377,0.1916
