Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.5732,0.596,0.3968,0.3599,0.1295,0.07770601124947915,0.5816370501052044
0.5873,0.6037,0.4765,0.3848,0.1481,0.09185179723225385,0.5929993274017963
0.5963,0.6195,0.384,0.3301,0.109,0.062605690634232,0.6056250129993548
0.7332,0.7755,0.4178,0.3662,0.1341,0.08115136886331499,0.7486509893263821
0.5267,0.5302,0.498,0.3443,0.1185,0.0695572745466515,0.5281059146305638
0.5687,0.5932,0.3622,0.3439,0.1182,0.06935542534907568,0.5782179810417974
0.577,0.5934,0.4976,0.4546,0.2067,0.13933928525325237,0.5816838205440319
0.5853,0.6177,0.476,0.5438,0.2958,0.21807104670756053,0.5923314737535337
0.5486,0.5778,0.4127,0.4637,0.215,0.14641741655929622,0.5567138623290537
0.5851,0.6107,0.4829,0.4999,0.2499,0.17668832020679875,0.59150989932962
0.5664,0.6001,0.3671,0.4115,0.1693,0.10862370174718185,0.5772705020673776
0.5638,0.5902,0.3853,0.3849,0.1481,0.0919114838879938,0.5729525735130176
0.6601,0.6872,0.5835,0.5939,0.3527,0.27182119235575863,0.6650366190021724
0.55,0.5387,0.585,0.5692,0.3239,0.2444343454444957,0.5477943409232552
0.6359,0.6644,0.3628,0.3233,0.1045,0.05943116745300157,0.6474810715651139
0.6268,0.6502,0.4584,0.3722,0.1386,0.08451638678801227,0.6352530216201249
0.5553,0.5744,0.4228,0.379,0.1437,0.0884296741931067,0.5620832294033022
0.5583,0.5735,0.4637,0.401,0.1608,0.10182652700549598,0.5633527105754211
0.6147,0.6557,0.4167,0.4553,0.2073,0.13987629675168403,0.6263718746420822
0.432,0.4353,0.4181,0.4926,0.2426,0.17030838034123255,0.43279698097435215
0.6588,0.7144,0.4591,0.5279,0.2787,0.20247861197679037,0.6714114685427167
0.4749,0.4792,0.4275,0.303,0.0918,0.050536664133508054,0.47671294207531784
0.691,0.737,0.5424,0.5564,0.3096,0.23092332560846213,0.7004927064679732
0.6043,0.6448,0.3622,0.4086,0.1669,0.10672002191156964,0.6175491347449217
0.5849,0.5997,0.5049,0.4296,0.1846,0.12096526515045146,0.5894699710305265
0.5073,0.5394,0.3083,0.4018,0.1615,0.10233515013041264,0.5179458594944192
0.4727,0.4744,0.4592,0.3531,0.1246,0.07408738973926311,0.4733515486963215
0.6023,0.6012,0.6052,0.6269,0.3929,0.31116853457868104,0.6021492861561955
0.6081,0.658,0.3671,0.4548,0.2069,0.1394925906481833,0.622389066719184
