Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,Il faudra enlever cette tâche.,e9490cd.jpeg,0.5371,0.5611,0.3514,0.3599,0.1295
We'll have to get rid of that mole.,Il faudra se débarrasser de ce taupe.,e2f18daf.jpeg,0.5854,0.6127,0.4016,0.3848,0.1481
He finally made it to the bank.,Il a finalement réussi à arriver au bord de l'eau.,40cc251e.jpeg,0.6281,0.6522,0.407,0.3301,0.109
He finally made it to the bank.,Il est finalement arrivé à la banque.,d12293c.jpeg,0.7245,0.7667,0.4091,0.3662,0.1341
So you see, they don't even own the plant.,Apparemment, ils ne possèdent même pas la plante.,d8011246.jpeg,0.5885,0.6069,0.433,0.3443,0.1185
So you see, they don't even own the plant.,Vous voyez, ils ne possèdent même pas la centrale.,4bedbae4.jpeg,0.6668,0.694,0.4374,0.3439,0.1182
There are still a couple of bugs left.,Il reste encore quelques bugs.,b547ce7.jpeg,0.617,0.6519,0.4481,0.4546,0.2067
There are still a couple of bugs left.,Il reste encore quelques insectes.,d1f5f19.jpeg,0.6158,0.6231,0.5914,0.5438,0.2958
Hand me that bow.,Tendez-moi ce ruban.,8b24724.jpeg,0.531,0.5528,0.4298,0.4637,0.215
Hand me that bow.,Tendez-moi cet arc.,cf7bfad.jpeg,0.555,0.5821,0.4466,0.4999,0.2499
Do you want to borrow my glasses?,Tu veux emprunter mes lunettes ?,dc8979e.jpeg,0.6308,0.6713,0.3917,0.4115,0.1693
Do you want to borrow my glasses?,Voulez-vous emprunter mes verres ?,9ef4910.jpeg,0.624,0.6659,0.3414,0.3849,0.1481
There are chips in a bowl.,Il y a des jetons dans un bol.,c6249700.jpeg,0.6106,0.5973,0.6483,0.5939,0.3527
There are chips in a bowl.,Il y a des frites dans un bol.,737c4103.jpeg,0.6168,0.5931,0.6903,0.5692,0.3239
We do silver nails too.,Nous faisons aussi les ongles argentés.,1acd9766.jpg,0.6645,0.7224,0.3774,0.4491,0.2017
We do silver nails too.,Nous faisons aussi des clous argentés.,92c962d4.jpeg,0.6327,0.6709,0.4511,0.4591,0.2108
First we should fill up the boot.,Il faut d'abord remplir le coffre.,a13f9a0.jpeg,0.576,0.5965,0.3804,0.3233,0.1045
First we should fill up the boot.,Il faut d'abord remplir la botte.,a01e98cb.jpeg,0.6043,0.6236,0.4652,0.3722,0.1386
Put down your arms.,Baissez vos armes.,48ef354.jpeg,0.5915,0.6173,0.4118,0.379,0.1437
Put down your arms.,Baisse tes bras.,f8f9418.jpeg,0.5197,0.536,0.4182,0.401,0.1608
It must be the spring.,Il doit être le printemps.,e20c4ff.jpeg,0.5696,0.596,0.4423,0.4553,0.2073
It must be the spring.,Ce doit être le ressort.,458999c.jpeg,0.4204,0.4038,0.4887,0.4926,0.2426
My chest is quite heavy...,J'ai le cœur lourd...,edf9e44e.jpeg,0.463,0.4627,0.464,0.5279,0.2787
My chest is quite heavy...,Mon coffre est assez lourd...,f4f9494.jpeg,0.5013,0.5136,0.3666,0.303,0.0918
The beam seems to be moving.,Le rayon semble bouger.,a8b1169.jpeg,0.587,0.6359,0.4289,0.5564,0.3096
The beam seems to be moving.,La poutre semble bouger.,e50fb00.jpeg,0.5641,0.5768,0.4881,0.4086,0.1669
Over there by the pen.,Là, près du parc.,8de21f5.jpeg,0.4526,0.4456,0.4908,0.4296,0.1846
Over there by the pen.,Là, près du stylo.,68161a4.jpeg,0.4385,0.4318,0.4801,0.4018,0.1615
They're braces.,Ce sont des bretelles.,230b2b4.jpeg,0.5047,0.5059,0.4949,0.3531,0.1246
They're braces.,Ce sont des bagues dentaires.,a9ee65f.jpeg,0.588,0.6004,0.5564,0.6269,0.3929
I know. The last one was a real nut.,Je sais. Le dernier était un vrai noix.,d9cbe61.jpeg,0.6619,0.7111,0.4243,0.4548,0.2069
I know. The last one was a real nut.,Je sais. Le dernier était un vrai cinglé.,7adadb10.jpeg,0.6485,0.6952,0.3072,0.37,0.1369
It might be easier with a pick.,Il pourrait être plus facile avec un médiator.,b599303.jpeg,0.5595,0.6212,0.3215,0.5092,0.2593
It might be easier with a pick.,Il pourrait être plus facile avec une pioche.,4a6ca5a.jpeg,0.6251,0.6759,0.3776,0.4531,0.2053
I have a club.,J'ai un trèfle.,cce02b1.jpeg,0.439,0.4517,0.3966,0.5468,0.2989
I have a club.,J'ai un club.,d01da65.jpeg,0.6515,0.7066,0.3543,0.4305,0.1853
Which port does he want?,Quel port veut-il ?,de257f1.jpeg,0.7324,0.7538,0.6062,0.4127,0.1704
Which port does he want?,Quel porto veut-il ?,4511cf4.jpeg,0.738,0.7627,0.6089,0.4377,0.1916
Sorry, the tape's just run out.,La cassette est juste arrivée à la fin.,cc50c7e0.jpeg,0.5091,0.5211,0.4298,0.39,0.1521
