Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.5371,0.5611,0.3514,0.3599,0.1295,0.07770601124947915,0.5459799669029186
0.5854,0.6127,0.4016,0.3848,0.1481,0.09185179723225385,0.5949412579757798
0.6281,0.6522,0.407,0.3301,0.109,0.062605690634232,0.637753516719498
0.7245,0.7667,0.4091,0.3662,0.1341,0.08115136886331499,0.7398584953399895
0.5885,0.6069,0.433,0.3443,0.1185,0.0695572745466515,0.5955906383309021
0.6668,0.694,0.4374,0.3439,0.1182,0.06935542534907568,0.677357636083659
0.617,0.6519,0.4481,0.4546,0.2067,0.13933928525325237,0.6269756015331283
0.6158,0.6231,0.5914,0.5438,0.2958,0.21807104670756053,0.6174247545376642
0.531,0.5528,0.4298,0.4637,0.215,0.14641741655929622,0.5370907635764605
0.555,0.5821,0.4466,0.4999,0.2499,0.17668832020679875,0.5617536882563653
0.6308,0.6713,0.3917,0.4115,0.1693,0.10862370174718185,0.6439046024808532
0.624,0.6659,0.3414,0.3849,0.1481,0.0919114838879938,0.6385852616152965
0.6106,0.5973,0.6483,0.5939,0.3527,0.27182119235575863,0.6082000234415548
0.6168,0.5931,0.6903,0.5692,0.3239,0.2444343454444957,0.6121922232773305
0.6645,0.7224,0.3774,0.4491,0.2017,0.13516294245373114,0.681321126295983
0.6327,0.6709,0.4511,0.4591,0.2108,0.14281316102007,0.6434324017408126
0.576,0.5965,0.3804,0.3233,0.1045,0.05943116745300157,0.5843773858263299
0.6043,0.6236,0.4652,0.3722,0.1386,0.08451638678801227,0.6112558843828351
0.5915,0.6173,0.4118,0.379,0.1437,0.0884296741931067,0.6006041137360066
0.5197,0.536,0.4182,0.401,0.1608,0.10182652700549598,0.5251133816555975
0.5696,0.596,0.4423,0.4553,0.2073,0.13987629675168403,0.5771391930229625
0.4204,0.4038,0.4887,0.4926,0.2426,0.17030838034123255,0.4161550183300872
0.463,0.4627,0.464,0.5279,0.2787,0.20247861197679037,0.46291889969014677
0.5013,0.5136,0.3666,0.303,0.0918,0.050536664133508054,0.50652848133601
0.587,0.6359,0.4289,0.5564,0.3096,0.23092332560846213,0.5970664452151616
0.5641,0.5768,0.4881,0.4086,0.1669,0.10672002191156964,0.5682467383293508
0.4526,0.4456,0.4908,0.4296,0.1846,0.12096526515045146,0.4504776087491584
