Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.5854,0.613,0.372,0.3599,0.1295,0.07770601124947915,0.5956231379284853
0.5838,0.613,0.3866,0.3848,0.1481,0.09185179723225385,0.5939541487717506
0.7133,0.7545,0.3351,0.3301,0.109,0.062605690634232,0.7297901505389782
0.7125,0.7545,0.3997,0.3662,0.1341,0.08115136886331499,0.7278686637209962
0.5919,0.6105,0.4348,0.3443,0.1185,0.0695572745466515,0.5990735776580765
0.5803,0.6105,0.3246,0.3439,0.1182,0.06935542534907568,0.5919573193932897
0.618,0.6739,0.3476,0.4546,0.2067,0.13933928525325237,0.6339940568216869
0.6251,0.6739,0.4603,0.5438,0.2958,0.21807104670756053,0.6356592293137249
0.4091,0.4293,0.315,0.4637,0.215,0.14641741655929622,0.4147019046893449
0.4079,0.4293,0.3219,0.4999,0.2499,0.17668832020679875,0.4131731078873332
0.6333,0.6751,0.3866,0.4115,0.1693,0.10862370174718185,0.6468325744482337
0.6259,0.6751,0.2935,0.3849,0.1481,0.0919114838879938,0.6429788777577724
0.4325,0.4229,0.4598,0.5939,0.3527,0.27182119235575863,0.43078648754888954
0.4069,0.4229,0.3576,0.5692,0.3239,0.2444343454444957,0.4100736401233571
0.6371,0.6873,0.388,0.4491,0.2017,0.13516294245373114,0.651662588696776
0.6433,0.6873,0.4342,0.4591,0.2108,0.14281316102007,0.6556710231146481
0.6596,0.6937,0.3338,0.3233,0.1045,0.05943116745300157,0.6735106023086356
0.6619,0.6937,0.4325,0.3722,0.1386,0.08451638678801227,0.6733446780353316
0.4979,0.5308,0.2685,0.379,0.1437,0.0884296741931067,0.5094893870216767
0.5089,0.5308,0.3726,0.401,0.1608,0.10182652700549598,0.5161797706104883
0.3922,0.3968,0.3698,0.4553,0.2073,0.13987629675168403,0.39348678081730637
0.3906,0.3968,0.3653,0.4926,0.2426,0.17030838034123255,0.3922159825983775
0.6587,0.7134,0.4626,0.5279,0.2787,0.20247861197679037,0.6711691982393787
0.6753,0.7134,0.2609,0.303,0.0918,0.050536664133508054,0.6916322299628885
0.4468,0.4923,0.3,0.5564,0.3096,0.23092332560846213,0.45622419041002693
0.4644,0.4923,0.2973,0.4086,0.1669,0.10672002191156964,0.47349632439936207
0.321,0.32,0.3265,0.4296,0.1846,0.12096526515045146,0.3207014260369365
0.318,0.32,0.3056,0.4018,0.1615,0.10233515013041264,0.31866317774435154
0.5033,0.5285,0.3018,0.3531,0.1246,0.07408738973926311,0.5128629006221103
0.4781,0.5285,0.3498,0.6269,0.3929,0.31116853457868104,0.48609064097196464
0.5392,0.5833,0.3263,0.4548,0.2069,0.1394925906481833,0.5518389829729471
0.5456,0.5833,0.2701,0.37,0.1369,0.08327301903978263,0.5592237891973177
0.5721,0.6066,0.4392,0.5092,0.2593,0.1850209844740108,0.580463321235027
0.5692,0.6066,0.3871,0.4531,0.2053,0.13819271696566907,0.5799495910474366
0.6047,0.6618,0.4139,0.5468,0.2989,0.22109110218374423,0.6169151555085995
0.6116,0.6618,0.3406,0.4305,0.1853,0.12159980807451715,0.6269766538542954
0.5446,0.5393,0.5757,0.4127,0.1704,0.10941734493265634,0.5428899847552775
0.5112,0.5393,0.3646,0.4377,0.1916,0.12674807335730454,0.5196479686905138
0.5161,0.5399,0.3603,0.39,0.1521,0.09498641955563965,0.5243202990580323
0.5125,0.5399,0.3766,0.4483,0.201,0.13456181834923686,0.5205322189050906
0.5442,0.5586,0.3781,0.2947,0.0868,0.047146595742324764,0.5504731908539923
0.5227,0.5586,0.3134,0.4143,0.1716,0.11048093302236042,0.5342052319571547
0.6945,0.7753,0.3892,0.5144,0.2646,0.18978085539536813,0.7137135423461639
0.6758,0.7753,0.4527,0.6679,0.4461,0.36456805281837484,0.6891118076293102
0.6216,0.655,0.4238,0.4107,0.1687,0.10809653104968436,0.6324460822876031
0.6132,0.655,0.4378,0.4886,0.2387,0.1668720712745621,0.62393865679616
0.5925,0.6256,0.3927,0.4074,0.166,0.10593819319728491,0.6032904303084808
0.5949,0.6256,0.2902,0.3173,0.1007,0.05671202832464267,0.6075996235585184
0.4042,0.413,0.3582,0.4374,0.1913,0.1265310018599391,0.4068449107121983
0.3986,0.413,0.3404,0.4984,0.2484,0.17536587403589535,0.4021680005892214
0.6247,0.6494,0.4516,0.3784,0.1432,0.08808010411561373,0.6333880864210554
0.5921,0.6494,0.3934,0.5369,0.2883,0.2112192566716122,0.6047572737470166
0.6374,0.6913,0.3975,0.4739,0.2246,0.15460259232474685,0.6519598478758352
0.6377,0.6913,0.3857,0.4611,0.2126,0.14437360653999415,0.6527456555914284
