Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.5804,0.6113,0.3418,0.3599,0.1295,0.07770601124947915,0.5918681978079949
0.5921,0.6113,0.4627,0.3848,0.1481,0.09185179723225385,0.5987990570118469
0.7143,0.751,0.3777,0.3301,0.109,0.062605690634232,0.7290062307968541
0.7121,0.751,0.4224,0.3662,0.1341,0.08115136886331499,0.7263352392861313
0.6148,0.6327,0.4636,0.3443,0.1185,0.0695572745466515,0.6217028001251038
0.6052,0.6327,0.3725,0.3439,0.1182,0.06935542534907568,0.6158241500739209
0.6108,0.6642,0.3528,0.4546,0.2067,0.13933928525325237,0.6261163018518948
0.6203,0.6642,0.4719,0.5438,0.2958,0.21807104670756053,0.6297725645928337
0.5846,0.6107,0.4636,0.4637,0.215,0.14641741655929622,0.5919127749764012
0.5851,0.6107,0.4829,0.4999,0.2499,0.17668832020679875,0.59150989932962
0.6155,0.6627,0.3367,0.4115,0.1693,0.10862370174718185,0.6307582990298932
0.6131,0.6627,0.2784,0.3849,0.1481,0.0919114838879938,0.6303516056664358
0.6601,0.6872,0.5835,0.5939,0.3527,0.27182119235575863,0.6650366190021724
0.6383,0.6872,0.4875,0.5692,0.3239,0.2444343454444957,0.647974516579394
0.6359,0.6644,0.3628,0.3233,0.1045,0.05943116745300157,0.6474810715651139
0.6253,0.6644,0.3434,0.3722,0.1386,0.08451638678801227,0.6393844626697605
0.586,0.6146,0.3873,0.379,0.1437,0.0884296741931067,0.5961329686238166
0.5986,0.6146,0.4989,0.401,0.1608,0.10182652700549598,0.6039074554970512
0.6056,0.6474,0.4036,0.4553,0.2073,0.13987629675168403,0.6174828578984922
0.6004,0.6474,0.4066,0.4926,0.2426,0.17030838034123255,0.6123577336409304
0.6608,0.7175,0.4573,0.5279,0.2787,0.20247861197679037,0.6736863850952405
0.6794,0.7175,0.2643,0.303,0.0918,0.050536664133508054,0.6956985560644886
0.691,0.737,0.5424,0.5564,0.3096,0.23092332560846213,0.7004927064679732
0.6754,0.737,0.3059,0.4086,0.1669,0.10672002191156964,0.6954294125567435
0.5142,0.5413,0.3676,0.4296,0.1846,0.12096526515045146,0.5225557380590974
0.5203,0.5413,0.3904,0.4018,0.1615,0.10233515013041264,0.5272912167793503
0.576,0.6012,0.3736,0.3531,0.1246,0.07408738973926311,0.585500821268603
0.6023,0.6012,0.6052,0.6269,0.3929,0.31116853457868104,0.6021492861561955
0.6052,0.6602,0.3391,0.4548,0.2069,0.1394925906481833,0.6208920911774837
0.6221,0.6602,0.3439,0.37,0.1369,0.08327301903978263,0.6358854869831149
0.5636,0.6135,0.3714,0.5092,0.2593,0.1850209844740108,0.5757001796356035
0.558,0.6135,0.2878,0.4531,0.2053,0.13819271696566907,0.57395540685262
0.6119,0.6597,0.4521,0.5468,0.2989,0.22109110218374423,0.6221118849680728
0.6215,0.6597,0.4155,0.4305,0.1853,0.12159980807451715,0.6332247162864848
