Source, Candidate, Image, Final_Score, Text_Fidelity (Src-Tgt), Visual_Grounding (Tgt-Img), Image_Relevance (Src-Img), Fusion_Weight
We'll have to get rid of that mole.,On va devoir se débarrasser de cette taupe.,e9490cd.jpeg,0.6353,0.6745,0.3332,0.3599,0.1295
We'll have to get rid of that mole.,On va devoir se débarrasser de cette taupe.,e2f18daf.jpeg,0.6323,0.6745,0.3476,0.3848,0.1481
He finally made it to the bank.,Il est finalement arrivé à la banque.,40cc251e.jpeg,0.7222,0.7667,0.3137,0.3301,0.109
He finally made it to the bank.,Il est finalement arrivé à la banque.,d12293c.jpeg,0.7245,0.7667,0.4091,0.3662,0.1341
So you see, they don't even own the plant.,Ils n'ont même pas la plante.,d8011246.jpeg,0.5219,0.5321,0.4356,0.3443,0.1185
So you see, they don't even own the plant.,Ils n'ont même pas la plante.,4bedbae4.jpeg,0.5198,0.5321,0.4161,0.3439,0.1182
There are still a couple of bugs left.,Il reste encore quelques insectes.,b547ce7.jpeg,0.5804,0.6231,0.3739,0.4546,0.2067
There are still a couple of bugs left.,Il reste encore quelques insectes.,d1f5f19.jpeg,0.6158,0.6231,0.5914,0.5438,0.2958
Hand me that bow.,Donne-moi cet arc.,8b24724.jpeg,0.47,0.4892,0.3806,0.4637,0.215
Hand me that bow.,Donne-moi cet arc.,cf7bfad.jpeg,0.4702,0.4892,0.3939,0.4999,0.2499
Do you want to borrow my glasses?,Tu veux m'emprunter mes lunettes ?,dc8979e.jpeg,0.6138,0.6578,0.3538,0.4115,0.1693
Do you want to borrow my glasses?,Tu veux m'emprunter mes lunettes ?,9ef4910.jpeg,0.6091,0.6578,0.2801,0.3849,0.1481
There are chips in a bowl.,Il y a des chips dans un bol.,c6249700.jpeg,0.7431,0.7794,0.6401,0.5939,0.3527
There are chips in a bowl.,Il y a des chips dans un bol.,737c4103.jpeg,0.7418,0.7794,0.6257,0.5692,0.3239
We do silver nails too.,On fait aussi des clous d'argent.,1acd9766.jpg,0.5146,0.5601,0.2892,0.4491,0.2017
We do silver nails too.,On fait aussi des clous d'argent.,92c962d4.jpeg,0.5364,0.5601,0.4241,0.4591,0.2108
First we should fill up the boot.,D'abord, on devrait remplir la botte.,a13f9a0.jpeg,0.668,0.7031,0.3325,0.3233,0.1045
First we should fill up the boot.,D'abord, on devrait remplir la botte.,a01e98cb.jpeg,0.6709,0.7031,0.4384,0.3722,0.1386
Put down your arms.,Posez vos bras.,48ef354.jpeg,0.4496,0.4597,0.3794,0.379,0.1437
Put down your arms.,Posez vos bras.,f8f9418.jpeg,0.4714,0.4597,0.5441,0.401,0.1608
It must be the spring.,Ça doit être le printemps.,e20c4ff.jpeg,0.66,0.7194,0.3737,0.4553,0.2073
It must be the spring.,Ça doit être le printemps.,458999c.jpeg,0.6528,0.7194,0.3783,0.4926,0.2426
My chest is quite heavy...,Ma poitrine est assez lourde...,edf9e44e.jpeg,0.6696,0.7219,0.4821,0.5279,0.2787
My chest is quite heavy...,Ma poitrine est assez lourde...,f4f9494.jpeg,0.6829,0.7219,0.2587,0.303,0.0918
The beam seems to be moving.,Le faisceau semble se déplacer.,a8b1169.jpeg,0.6533,0.7051,0.4859,0.5564,0.3096
The beam seems to be moving.,Le faisceau semble se déplacer.,e50fb00.jpeg,0.653,0.7051,0.3408,0.4086,0.1669
Over there by the pen.,Là-bas, près du stylo.,8de21f5.jpeg,0.4528,0.477,0.3218,0.4296,0.1846
Over there by the pen.,Là-bas, près du stylo.,68161a4.jpeg,0.4672,0.477,0.406,0.4018,0.1615
They're braces.,Ce sont des appareils.,230b2b4.jpeg,0.4305,0.4352,0.3933,0.3531,0.1246
They're braces.,Ce sont des appareils.,a9ee65f.jpeg,0.4547,0.4352,0.5043,0.6269,0.3929
I know. The last one was a real nut.,Je sais, le dernier était un vrai cinglé.,d9cbe61.jpeg,0.6312,0.6875,0.3589,0.4548,0.2069
I know. The last one was a real nut.,Je sais, le dernier était un vrai cinglé.,7adadb10.jpeg,0.6434,0.6875,0.3213,0.37,0.1369
It might be easier with a pick.,C'est peut-être plus facile avec un choix.,b599303.jpeg,0.5585,0.5949,0.4185,0.5092,0.2593
It might be easier with a pick.,C'est peut-être plus facile avec un choix.,4a6ca5a.jpeg,0.5554,0.5949,0.3631,0.4531,0.2053
I have a club.,J'ai un club.,cce02b1.jpeg,0.6459,0.7066,0.4429,0.5468,0.2989
I have a club.,J'ai un club.,d01da65.jpeg,0.6515,0.7066,0.3543,0.4305,0.1853
Which port does he want?,Quel port veut-il ?,de257f1.jpeg,0.7324,0.7538,0.6062,0.4127,0.1704
Which port does he want?,Quel port veut-il ?,4511cf4.jpeg,0.7123,0.7538,0.4952,0.4377,0.1916
Sorry, the tape's just run out.,Désolé, la cassette est épuisée.,cc50c7e0.jpeg,0.5393,0.5512,0.4607,0.39,0.1521
Sorry, the tape's just run out.,Désolé, la cassette est épuisée.,8207d9b2.jpeg,0.5149,0.5512,0.3341,0.4483,0.201
They checked the seal.,Ils ont vérifié le sceau.,8b12aebf.jpeg,0.661,0.6822,0.4162,0.2947,0.0868
They checked the seal.,Ils ont vérifié le sceau.,59364b5.jpeg,0.6258,0.6822,0.2972,0.4143,0.1716
Why is the chair here?,Pourquoi la chaise est là ?,2caf5d9.jpeg,0.7197,0.7981,0.4236,0.5144,0.2646
Why is the chair here?,Pourquoi la chaise est là ?,ef02ac2.jpeg,0.7452,0.7981,0.6268,0.6679,0.4461
There must be a hole in the tank somewhere.,Il doit y avoir un trou quelque part dans le réservoir.,22f9dcb.jpeg,0.6652,0.7166,0.3606,0.4107,0.1687
There must be a hole in the tank somewhere.,Il doit y avoir un trou quelque part dans le réservoir.,acb5659.jpeg,0.6622,0.7166,0.4346,0.4886,0.2387
We're going to have to do without the poker then.,Nous allons devoir faire sans le poker alors.,c0816da.jpeg,0.7068,0.7578,0.3997,0.4074,0.166
We're going to have to do without the poker then.,Nous allons devoir faire sans le poker alors.,32da2f5.jpeg,0.7152,0.7578,0.2918,0.3173,0.1007
I don't give a damn about the cup.,Je m'en fous de la tasse.,2f05055.jpeg,0.5595,0.5942,0.3784,0.4374,0.1913
I don't give a damn about the cup.,Je m'en fous de la tasse.,247987b2.jpeg,0.561,0.5942,0.4274,0.4984,0.2484
The fans were still out of order.,Les fans étaient toujours en panne.,0316663.jpeg,0.6282,0.6516,0.4653,0.3784,0.1432
The fans were still out of order.,Les fans étaient toujours en panne.,657c4a7.jpeg,0.5956,0.6516,0.4013,0.5369,0.2883
I don't think we should use a brush.,Je ne pense pas qu'on devrait utiliser un pinceau.,189049b.jpeg,0.678,0.7475,0.3683,0.4739,0.2246
I don't think we should use a brush.,Je ne pense pas qu'on devrait utiliser un pinceau.,ff78fc7.jpeg,0.685,0.7475,0.3913,0.4611,0.2126
There's the horn.,Voilà la corne.,ed2221a.jpeg,0.5125,0.5278,0.4711,0.6072,0.3686
There's the horn.,Voilà la corne.,7d6fbfa.jpeg,0.5074,0.5278,0.4227,0.4899,0.24
Can you not see the red light?,Tu ne vois pas la lumière rouge ?,7241ebd.jpeg,0.5746,0.6193,0.4385,0.5736,0.3291
Can you not see the red light?,Tu ne vois pas la lumière rouge ?,fb2edd5.jpeg,0.5651,0.6193,0.3812,0.543,0.2948
I know - good job there are showers.,Je sais - bon travail il y a des douches.,a78f616.jpeg,0.6281,0.6721,0.3287,0.3834,0.147
I know - good job there are showers.,Je sais - bon travail il y a des douches.,3a1b985.jpeg,0.6305,0.6721,0.3785,0.4062,0.165
Like a bat?,Comme une chauve-souris ?,e40843b.jpeg,0.5767,0.6038,0.4898,0.5581,0.3115
Like a bat?,Comme une chauve-souris ?,c239573.jpeg,0.5631,0.6038,0.3467,0.4337,0.1881
You should use a fork.,Tu devrais utiliser une fourchette.,1aea2b4.jpeg,0.6746,0.7215,0.4933,0.5087,0.2587
You should use a fork.,Tu devrais utiliser une fourchette.,bbad554.jpeg,0.6697,0.7215,0.3703,0.4159,0.173
What a beautiful bass!,Quelle belle basse !,a96afbd.jpeg,0.5649,0.6017,0.4612,0.5952,0.3543
What a beautiful bass!,Quelle belle basse !,3165ef6.jpeg,0.5547,0.6017,0.3514,0.4807,0.231
A biker on the road.,Un motard sur la route.,4ercqd74.jpeg,0.74,0.7807,0.6561,0.6966,0.4852
A biker on the road.,Un motard sur la route.,d56edd34.jpeg,0.7204,0.7807,0.6011,0.7107,0.5051
That's lots of bucks!,C'est beaucoup de dollars !,bee3626.jpeg,0.5893,0.6194,0.3911,0.3895,0.1517
That's lots of bucks!,C'est beaucoup de dollars !,7c4e078.jpeg,0.6062,0.6194,0.562,0.546,0.2981
A person looking at a rock.,Une personne qui regarde une pierre.,d052f05f.jpeg,0.7464,0.8184,0.5471,0.6013,0.3616
A person looking at a rock.,Une personne qui regarde une pierre.,118a75ff.jpeg,0.7543,0.8184,0.4813,0.4847,0.2349
The lamp is tall and elegant.,La lampe est grande et élégante.,5a43462.jpeg,0.7107,0.7629,0.576,0.6222,0.3872
The lamp is tall and elegant.,La lampe est grande et élégante.,ffda480.jpeg,0.6942,0.7629,0.3893,0.4744,0.225
Give me the file please.,Donnez-moi le dossier, s'il vous plaît.,e740816.jpeg,0.4853,0.4968,0.4326,0.467,0.2181
Give me the file please.,Donnez-moi le dossier, s'il vous plaît.,c47d9e24.jpeg,0.4769,0.4968,0.3152,0.3503,0.1227
The tube looks dirty!,Le tube a l'air sale !,27b9b32.jpeg,0.7565,0.8116,0.3231,0.3563,0.127
The tube looks dirty!,Le tube a l'air sale !,2535cf5.jpeg,0.7363,0.8116,0.37,0.4535,0.2057
An animal sitting in a palm.,Un animal assis dans une paume.,a9c0ad02.jpeg,0.7836,0.8653,0.573,0.6227,0.3878
An animal sitting in a palm.,Un animal assis dans une paume.,638a4049.jpeg,0.8019,0.8653,0.5179,0.4722,0.223
Show me the ring!,Montre-moi la bague !,32962fc.jpeg,0.5404,0.5798,0.4228,0.5784,0.3346
Show me the ring!,Montre-moi la bague !,f4217ff.jpeg,0.5438,0.5798,0.3051,0.3886,0.151
A man with a hat is smoking.,Un homme avec un chapeau fume.,ee1f6c9.jpeg,0.8166,0.8897,0.69,0.7598,0.5772
