Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.6353,0.6745,0.3332,0.3599,0.1295,0.07770601124947915,0.6498911907676018
0.6323,0.6745,0.3476,0.3848,0.1481,0.09185179723225385,0.6469996079217546
0.7222,0.7667,0.3137,0.3301,0.109,0.062605690634232,0.7400105345592685
0.7245,0.7667,0.4091,0.3662,0.1341,0.08115136886331499,0.7398584953399895
0.5219,0.5321,0.4356,0.3443,0.1185,0.0695572745466515,0.525824247262404
0.5198,0.5321,0.4161,0.3439,0.1182,0.06935542534907568,0.524576561908435
0.5804,0.6231,0.3739,0.4546,0.2067,0.13933928525325237,0.5926232576155818
0.6158,0.6231,0.5914,0.5438,0.2958,0.21807104670756053,0.6174247545376642
0.47,0.4892,0.3806,0.4637,0.215,0.14641741655929622,0.4753298936943383
0.4702,0.4892,0.3939,0.4999,0.2499,0.17668832020679875,0.4748900110024474
0.6138,0.6578,0.3538,0.4115,0.1693,0.10862370174718185,0.6280138739419864
0.6091,0.6578,0.2801,0.3849,0.1481,0.0919114838879938,0.6260071596674807
0.7431,0.7794,0.6401,0.5939,0.3527,0.27182119235575863,0.7496279751880676
0.7418,0.7794,0.6257,0.5692,0.3239,0.2444343454444957,0.7492099308875957
0.5146,0.5601,0.2892,0.4491,0.2017,0.13516294245373114,0.527844153952411
0.5364,0.5601,0.4241,0.4591,0.2108,0.14281316102007,0.5431045797850342
0.668,0.7031,0.3325,0.3233,0.1045,0.05943116745300157,0.6823103618104481
0.6709,0.7031,0.4384,0.3722,0.1386,0.08451638678801227,0.6824719229554068
0.4496,0.4597,0.3794,0.379,0.1437,0.0884296741931067,0.4531760113528045
0.4714,0.4597,0.5441,0.401,0.1608,0.10182652700549598,0.4674999201041391
0.66,0.7194,0.3737,0.4553,0.2073,0.13987629675168403,0.6769785232793634
0.6528,0.7194,0.3783,0.4926,0.2426,0.17030838034123255,0.6697616401367166
0.6696,0.7219,0.4821,0.5279,0.2787,0.20247861197679037,0.6815214263867743
0.6829,0.7219,0.2587,0.303,0.0918,0.050536664133508054,0.6996175003730607
0.6533,0.7051,0.4859,0.5564,0.3096,0.23092332560846213,0.6639777043051373
0.653,0.7051,0.3408,0.4086,0.1669,0.10672002191156964,0.6699708768137825
0.4528,0.477,0.3218,0.4296,0.1846,0.12096526515045146,0.46025210447191667
0.4672,0.477,0.406,0.4018,0.1615,0.10233515013041264,0.4704087236006221
0.4305,0.4352,0.3933,0.3531,0.1246,0.07408738973926311,0.4323098612089388
0.4547,0.4352,0.5043,0.6269,0.3929,0.31116853457868104,0.4515989183482778
0.6312,0.6875,0.3589,0.4548,0.2069,0.1394925906481833,0.6472739681124919
0.6434,0.6875,0.3213,0.37,0.1369,0.08327301903978263,0.6593495900512699
0.5585,0.5949,0.4185,0.5092,0.2593,0.1850209844740108,0.5673581234519638
0.5554,0.5949,0.3631,0.4531,0.2053,0.13819271696566907,0.5667561968327826
0.6459,0.7066,0.4429,0.5468,0.2989,0.22109110218374423,0.6588544030158036
0.6515,0.7066,0.3543,0.4305,0.1853,0.12159980807451715,0.6684049039628526
0.7324,0.7538,0.6062,0.4127,0.1704,0.10941734493265634,0.7392428090692594
0.7123,0.7538,0.4952,0.4377,0.1916,0.12674807335730454,0.7247100440948303
0.5393,0.5512,0.4607,0.39,0.1521,0.09498641955563965,0.5433494268638749
0.5149,0.5512,0.3341,0.4483,0.201,0.13456181834923686,0.5254514067623708
0.661,0.6822,0.4162,0.2947,0.0868,0.047146595742324764,0.6702236496795675
0.6258,0.6822,0.2972,0.4143,0.1716,0.11048093302236042,0.6438966325591542
0.7197,0.7981,0.4236,0.5144,0.2646,0.18978085539536813,0.7383638477302212
0.7452,0.7981,0.6268,0.6679,0.4461,0.36456805281837484,0.7523342301515835
0.6652,0.7166,0.3606,0.4107,0.1687,0.10809653104968436,0.6818716491971744
0.6622,0.7166,0.4346,0.4886,0.2387,0.1668720712745621,0.676271736724296
0.7068,0.7578,0.3997,0.4074,0.166,0.10593819319728491,0.7234974800062988
0.7152,0.7578,0.2918,0.3173,0.1007,0.05671202832464267,0.7327905324337196
0.5595,0.5942,0.3784,0.4374,0.1913,0.1265310018599391,0.569961527950591
0.561,0.5942,0.4274,0.4984,0.2484,0.17536587403589535,0.5693132575520955
0.6282,0.6516,0.4653,0.3784,0.1432,0.08808010411561373,0.6365190116291334
0.5956,0.6516,0.4013,0.5369,0.2883,0.2112192566716122,0.6079512719487432
0.678,0.7475,0.3683,0.4739,0.2246,0.15460259232474685,0.6967246913359996
