Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.5613,0.5876,0.3578,0.3599,0.1295,0.07770601124947915,0.5710306933442569
0.5838,0.613,0.3866,0.3848,0.1481,0.09185179723225385,0.5939541487717506
0.595,0.6169,0.3941,0.3301,0.109,0.062605690634232,0.6037732607059713
0.7125,0.7545,0.3997,0.3662,0.1341,0.08115136886331499,0.7278686637209962
0.6221,0.6512,0.3761,0.3443,0.1185,0.0695572745466515,0.6333092271698171
0.6137,0.6394,0.3958,0.3439,0.1182,0.06935542534907568,0.6236007800077138
0.5152,0.5381,0.4042,0.4546,0.2067,0.13933928525325237,0.5217242543929631
0.6029,0.6357,0.4918,0.5438,0.2958,0.21807104670756053,0.6099376081378511
0.3396,0.3455,0.3124,0.4637,0.215,0.14641741655929622,0.34127255507626697
0.4079,0.4293,0.3219,0.4999,0.2499,0.17668832020679875,0.4131731078873332
0.6333,0.6751,0.3866,0.4115,0.1693,0.10862370174718185,0.6468325744482337
0.5889,0.6223,0.3631,0.3849,0.1481,0.0919114838879938,0.6004818792316945
0.4325,0.4229,0.4598,0.5939,0.3527,0.27182119235575863,0.43078648754888954
0.4378,0.4537,0.3887,0.5692,0.3239,0.2444343454444957,0.44093256673841064
0.6371,0.6873,0.388,0.4491,0.2017,0.13516294245373114,0.651662588696776
0.5539,0.5769,0.4449,0.4591,0.2108,0.14281316102007,0.5604044450854743
0.6128,0.6418,0.3353,0.3233,0.1045,0.05943116745300157,0.6246061950752898
0.6121,0.6478,0.3543,0.3722,0.1386,0.08451638678801227,0.6249275382977406
0.5342,0.5455,0.4557,0.379,0.1437,0.0884296741931067,0.5382041820607951
0.4635,0.4778,0.3749,0.401,0.1608,0.10182652700549598,0.4682903817687689
0.5251,0.5478,0.4157,0.4553,0.2073,0.13987629675168403,0.5315897683691173
0.3987,0.3926,0.4236,0.4926,0.2426,0.17030838034123255,0.39711125522064433
0.6346,0.6941,0.4208,0.5279,0.2787,0.20247861197679037,0.6480805497560693
0.4697,0.4842,0.3118,0.303,0.0918,0.050536664133508054,0.4759065998797834
0.593,0.6269,0.4834,0.5564,0.3096,0.23092332560846213,0.599979154050124
0.5633,0.5932,0.3843,0.4086,0.1669,0.10672002191156964,0.5730559598309063
0.365,0.3762,0.3048,0.4296,0.1846,0.12096526515045146,0.3684951047634977
0.2897,0.2887,0.2958,0.4018,0.1615,0.10233515013041264,0.2893591276399378
0.5033,0.5285,0.3018,0.3531,0.1246,0.07408738973926311,0.5128629006221103
0.4781,0.5285,0.3498,0.6269,0.3929,0.31116853457868104,0.48609064097196464
0.492,0.5137,0.3868,0.4548,0.2069,0.1394925906481833,0.49816535774033843
0.5975,0.6387,0.2967,0.37,0.1369,0.08327301903978263,0.6124098847556918
0.5891,0.6391,0.3961,0.5092,0.2593,0.1850209844740108,0.6011596598572972
0.577,0.6251,0.3428,0.4531,0.2053,0.13819271696566907,0.5908247815612361
0.4594,0.503,0.3137,0.5468,0.2989,0.22109110218374423,0.4687252881717543
0.6116,0.6618,0.3406,0.4305,0.1853,0.12159980807451715,0.6269766538542954
0.5446,0.5393,0.5757,0.4127,0.1704,0.10941734493265634,0.5428899847552775
0.6519,0.6836,0.4867,0.4377,0.1916,0.12674807335730454,0.6614506870930862
0.5285,0.555,0.3543,0.39,0.1521,0.09498641955563965,0.5375899444373445
0.5093,0.5404,0.3548,0.4483,0.201,0.13456181834923686,0.5183873841321788
0.5442,0.5586,0.3781,0.2947,0.0868,0.047146595742324764,0.5504731908539923
0.5227,0.5586,0.3134,0.4143,0.1716,0.11048093302236042,0.5342052319571547
0.6787,0.7536,0.3958,0.5144,0.2646,0.18978085539536813,0.6965276494469244
0.6864,0.7718,0.4948,0.6679,0.4461,0.36456805281837484,0.6977946395329166
0.6216,0.655,0.4238,0.4107,0.1687,0.10809653104968436,0.6324460822876031
0.6316,0.6737,0.4555,0.4886,0.2387,0.1668720712745621,0.6424956487703595
0.6018,0.6375,0.3868,0.4074,0.166,0.10593819319728491,0.6134853622942728
0.604,0.6375,0.2715,0.3173,0.1007,0.05671202832464267,0.6178573709672561
0.3625,0.3458,0.4495,0.4374,0.1913,0.1265310018599391,0.3574474956048365
0.4559,0.4487,0.4846,0.4984,0.2484,0.17536587403589535,0.4540563192678642
0.5956,0.6139,0.4682,0.3784,0.1432,0.08808010411561373,0.60210558236374
0.5921,0.6494,0.3934,0.5369,0.2883,0.2112192566716122,0.6047572737470166
0.6339,0.6884,0.3912,0.4739,0.2246,0.15460259232474685,0.6486045840323288
0.6173,0.6697,0.371,0.4611,0.2126,0.14437360653999415,0.6320161561687161
0.5513,0.5506,0.5532,0.6072,0.3686,0.2872958861075215,0.551180262325034
0.5339,0.5506,0.4644,0.4899,0.24,0.16798426312455356,0.538202364228265
0.5745,0.5796,0.5591,0.5736,0.3291,0.24918555126138278,0.5755106925342676
0.5634,0.5901,0.4729,0.543,0.2948,0.2172699047519997,0.5691810298213014
0.6195,0.665,0.31,0.3834,0.147,0.09101862519580373,0.6353839960214142
0.5904,0.6406,0.2861,0.4062,0.165,0.10515981118863103,0.6068680883896105
0.3804,0.376,0.3942,0.5581,0.3115,0.2326912519718804,0.3794355567779959
0.367,0.3426,0.4966,0.4337,0.1881,0.1238721157255944,0.35957373353677835
0.6263,0.6814,0.4131,0.5087,0.2587,0.18456712364281552,0.6395962403944794
0.6386,0.6814,0.391,0.4159,0.173,0.11155070025960055,0.6522566389748823
0.5251,0.5704,0.3972,0.5952,0.3543,0.2733111228230142,0.5332233150371013
0.6342,0.6935,0.3773,0.4807,0.231,0.16020840818024631,0.6498372422493909
0.6674,0.6659,0.6707,0.6966,0.4852,0.40500340576057287,0.6672836381745981
0.6243,0.6659,0.5419,0.7107,0.5051,0.4258099334548403,0.628868113414345
0.6371,0.6832,0.3328,0.3895,0.1517,0.0946822685749388,0.652892879969776
0.4787,0.5115,0.3687,0.546,0.2981,0.22028331666963802,0.48572200468471993
0.6733,0.6911,0.6239,0.6013,0.3616,0.28036771982125896,0.6763849220733097
0.7327,0.7927,0.4771,0.4847,0.2349,0.16356205157190007,0.7483360716591299
0.7596,0.8511,0.5232,0.6222,0.3872,0.3053690492482545,0.7743933312566537
0.7719,0.8511,0.4201,0.4744,0.225,0.1550107083614152,0.7932567135091317
0.3686,0.3866,0.2862,0.467,0.2181,0.14903634847615868,0.3735775665436081
0.3719,0.3866,0.2522,0.3503,0.1227,0.07262737428538345,0.3774998042209592
0.6457,0.6947,0.2606,0.3563,0.127,0.07577737483423097,0.6641221507302023
0.5769,0.6312,0.3129,0.4535,0.2057,0.13849791279127946,0.59247890517306
0.755,0.8341,0.5508,0.6227,0.3878,0.30598290556425245,0.7677247382894339
0.7672,0.8341,0.4669,0.4722,0.223,0.15321982319443428,0.7853128408258289
0.5435,0.5605,0.4927,0.5784,0.3346,0.2544314018104899,0.5467483918866715
0.5675,0.5924,0.4027,0.3886,0.151,0.09413627099190695,0.576078769198488
0.743,0.7922,0.6578,0.7598,0.5772,0.503208795018726,0.7472087371264522
0.7393,0.7922,0.6413,0.7344,0.5394,0.46220184046197854,0.744500526647076
0.6477,0.7116,0.4723,0.6031,0.3638,0.2824706447136455,0.6588929649044183
0.7269,0.7713,0.616,0.6325,0.4001,0.3181642099628264,0.7338153668763163
0.6559,0.6975,0.4709,0.4741,0.2248,0.15476576127490668,0.6671302724925137
0.4888,0.5182,0.3341,0.4354,0.1896,0.12508955909621192,0.4977314180605214
0.6225,0.6808,0.349,0.4618,0.2132,0.14492216770071917,0.6388013588699525
0.6214,0.6808,0.4122,0.5331,0.2841,0.20750172255342453,0.6346427468575442
0.6876,0.7446,0.5127,0.5708,0.3258,0.24615570811958773,0.6987923145390316
0.6838,0.7446,0.4463,0.5056,0.2557,0.18176809814742337,0.6987183894180461
0.3848,0.4091,0.3145,0.5886,0.3465,0.26579734859073245,0.38923550178100974
0.3863,0.4091,0.3263,0.6158,0.3792,0.2975768974034222,0.390111247075754
0.6361,0.6811,0.5098,0.597,0.3564,0.2753821763345569,0.6441126814680095
0.6375,0.6845,0.4883,0.5612,0.315,0.23593596939681874,0.6470460878703551
0.6207,0.651,0.498,0.497,0.247,0.17413696535272744,0.6283084772175933
0.6276,0.642,0.5248,0.374,0.1399,0.08554192229909262,0.6327645084104903
0.4244,0.4418,0.3297,0.4294,0.1844,0.12082452605367242,0.42971565579109383
0.4188,0.4282,0.3761,0.4667,0.2178,0.148797112045789,0.42145178531848837
0.5298,0.5541,0.4026,0.4366,0.1906,0.12595323557334906,0.5371526574403904
