Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.5804,0.6113,0.3418,0.3599,0.1295,0.07770601124947915,0.5918681978079949
0.5921,0.6113,0.4627,0.3848,0.1481,0.09185179723225385,0.5987990570118469
0.7387,0.783,0.3329,0.3301,0.109,0.062605690634232,0.7564813942718028
0.7332,0.7755,0.4178,0.3662,0.1341,0.08115136886331499,0.7486509893263821
0.5072,0.5081,0.4992,0.3443,0.1185,0.0695572745466515,0.5075212000065844
0.572,0.5933,0.3924,0.3439,0.1182,0.06935542534907568,0.5802701835121088
0.577,0.5934,0.4976,0.4546,0.2067,0.13933928525325237,0.5816838205440319
0.6203,0.6642,0.4719,0.5438,0.2958,0.21807104670756053,0.6297725645928337
0.5846,0.6107,0.4636,0.4637,0.215,0.14641741655929622,0.5919127749764012
0.5851,0.6107,0.4829,0.4999,0.2499,0.17668832020679875,0.59150989932962
0.6176,0.6623,0.3537,0.4115,0.1693,0.10862370174718185,0.6320631628240033
0.5926,0.6227,0.3899,0.3849,0.1481,0.0919114838879938,0.6031040952358737
0.6495,0.6759,0.5749,0.5939,0.3527,0.27182119235575863,0.6543136790667252
0.6322,0.6759,0.4974,0.5692,0.3239,0.2444343454444957,0.6408386640431738
0.6359,0.6644,0.3628,0.3233,0.1045,0.05943116745300157,0.6474810715651139
0.6253,0.6644,0.3434,0.3722,0.1386,0.08451638678801227,0.6393844626697605
0.5621,0.5701,0.5065,0.379,0.1437,0.0884296741931067,0.5649328060029685
0.5986,0.6146,0.4989,0.401,0.1608,0.10182652700549598,0.6039074554970512
0.6056,0.6474,0.4036,0.4553,0.2073,0.13987629675168403,0.6174828578984922
0.4351,0.4385,0.4209,0.4926,0.2426,0.17030838034123255,0.43593877122956964
0.6608,0.7175,0.4573,0.5279,0.2787,0.20247861197679037,0.6736863850952405
0.4881,0.4914,0.4515,0.303,0.0918,0.050536664133508054,0.4894805877912027
0.691,0.737,0.5424,0.5564,0.3096,0.23092332560846213,0.7004927064679732
0.6043,0.6448,0.3622,0.4086,0.1669,0.10672002191156964,0.6175491347449217
0.5653,0.5814,0.4782,0.4296,0.1846,0.12096526515045146,0.5702635127674086
0.544,0.5692,0.3877,0.4018,0.1615,0.10233515013041264,0.5523504694860973
0.576,0.6012,0.3736,0.3531,0.1246,0.07408738973926311,0.585500821268603
0.6023,0.6012,0.6052,0.6269,0.3929,0.31116853457868104,0.6021492861561955
0.5829,0.6102,0.4509,0.4548,0.2069,0.1394925906481833,0.5906990660995738
0.5813,0.6102,0.37,0.37,0.1369,0.08327301903978263,0.5917354219833835
0.5744,0.6297,0.361,0.5092,0.2593,0.1850209844740108,0.587747039521217
0.5941,0.636,0.3902,0.4531,0.2053,0.13819271696566907,0.6061563985396807
0.4836,0.5203,0.361,0.5468,0.2989,0.22109110218374423,0.4914570967023795
0.6215,0.6597,0.4155,0.4305,0.1853,0.12159980807451715,0.6332247162864848
