Final_Score,Text_Fidelity (Src-Tgt),Visual_Grounding (Tgt-Img),Image_Relevance (Src-Img),Fusion_Weight,Lambda_Weight,Final_Score_sqrt
0.6353,0.6745,0.3332,0.3599,0.1295,0.07770601124947915,0.6498911907676018
0.6323,0.6745,0.3476,0.3848,0.1481,0.09185179723225385,0.6469996079217546
0.7639,0.8125,0.3175,0.3301,0.109,0.062605690634232,0.783336014584631
0.7642,0.8125,0.4036,0.3662,0.1341,0.08115136886331499,0.7818079103594008
0.7086,0.7442,0.4086,0.3443,0.1185,0.0695572745466515,0.7223746878887335
0.6727,0.7022,0.4226,0.3439,0.1182,0.06935542534907568,0.6840659199103316
0.617,0.6519,0.4481,0.4546,0.2067,0.13933928525325237,0.6269756015331283
0.6158,0.6231,0.5914,0.5438,0.2958,0.21807104670756053,0.6174247545376642
0.4942,0.498,0.4768,0.4637,0.215,0.14641741655929622,0.49529239177090206
0.4702,0.4892,0.3939,0.4999,0.2499,0.17668832020679875,0.4748900110024474
0.6314,0.672,0.3912,0.4115,0.1693,0.10862370174718185,0.6444870256674664
0.6022,0.644,0.3198,0.3849,0.1481,0.0919114838879938,0.6167105140698894
0.6106,0.5973,0.6483,0.5939,0.3527,0.27182119235575863,0.6082000234415548
0.7418,0.7794,0.6257,0.5692,0.3239,0.2444343454444957,0.7492099308875957
0.5988,0.6441,0.3746,0.4491,0.2017,0.13516294245373114,0.6120108508312099
0.5407,0.5649,0.426,0.4591,0.2108,0.14281316102007,0.547542177442215
0.576,0.5965,0.3804,0.3233,0.1045,0.05943116745300157,0.5843773858263299
0.5731,0.5965,0.4041,0.3722,0.1386,0.08451638678801227,0.5815062636064234
0.5417,0.5551,0.4479,0.379,0.1437,0.0884296741931067,0.5463905157785884
0.4714,0.4597,0.5441,0.401,0.1608,0.10182652700549598,0.4674999201041391
0.66,0.7194,0.3737,0.4553,0.2073,0.13987629675168403,0.6769785232793634
0.5339,0.5571,0.4383,0.4926,0.2426,0.17030838034123255,0.5398117057995953
0.6696,0.7219,0.4821,0.5279,0.2787,0.20247861197679037,0.6815214263867743
0.5013,0.5136,0.3666,0.303,0.0918,0.050536664133508054,0.50652848133601
0.6199,0.6682,0.464,0.5564,0.3096,0.23092332560846213,0.6298917300141835
0.5641,0.5768,0.4881,0.4086,0.1669,0.10672002191156964,0.5682467383293508
0.5462,0.559,0.4769,0.4296,0.1846,0.12096526515045146,0.5501404495950023
0.4672,0.477,0.406,0.4018,0.1615,0.10233515013041264,0.4704087236006221
0.4305,0.4352,0.3933,0.3531,0.1246,0.07408738973926311,0.4323098612089388
0.4547,0.4352,0.5043,0.6269,0.3929,0.31116853457868104,0.4515989183482778
0.5565,0.582,0.4328,0.4548,0.2069,0.1394925906481833,0.563735471827096
0.556,0.582,0.3658,0.37,0.1369,0.08327301903978263,0.5653803423514051
0.5052,0.5483,0.3389,0.5092,0.2593,0.1850209844740108,0.5156057315807325
0.5429,0.5809,0.3573,0.4531,0.2053,0.13819271696566907,0.5537517929758852
0.6459,0.7066,0.4429,0.5468,0.2989,0.22109110218374423,0.6588544030158036
0.6515,0.7066,0.3543,0.4305,0.1853,0.12159980807451715,0.6684049039628526
0.7421,0.7731,0.5605,0.4127,0.1704,0.10941734493265634,0.7521321220062638
0.7314,0.7731,0.5137,0.4377,0.1916,0.12674807335730454,0.7439200519651933
0.5393,0.5512,0.4607,0.39,0.1521,0.09498641955563965,0.5433494268638749
0.5947,0.6319,0.4097,0.4483,0.201,0.13456181834923686,0.6055465342358305
0.661,0.6822,0.4162,0.2947,0.0868,0.047146595742324764,0.6702236496795675
0.5683,0.6002,0.3822,0.4143,0.1716,0.11048093302236042,0.578511339994534
0.7239,0.8072,0.4093,0.5144,0.2646,0.18978085539536813,0.7437313351451402
0.7438,0.8072,0.6016,0.6679,0.4461,0.36456805281837484,0.7522703894872479
0.6313,0.6778,0.3562,0.4107,0.1687,0.10809653104968436,0.6464274224208181
0.6342,0.6778,0.4518,0.4886,0.2387,0.1668720712745621,0.6454801861691166
0.6331,0.6708,0.4061,0.4074,0.166,0.10593819319728491,0.6454442975639968
0.7152,0.7578,0.2918,0.3173,0.1007,0.05671202832464267,0.7327905324337196
0.5035,0.527,0.3806,0.4374,0.1913,0.1265310018599391,0.5105564767931721
0.547,0.5747,0.4357,0.4984,0.2484,0.17536587403589535,0.5539610479600796
0.583,0.5986,0.4743,0.3784,0.1432,0.08808010411561373,0.5885379127509464
0.6662,0.6982,0.5551,0.5369,0.2883,0.2112192566716122,0.67324541356718
0.678,0.7475,0.3683,0.4739,0.2246,0.15460259232474685,0.6967246913359996
